symbol,name,price,peRatio,volume,change1M,change3M,change6M,change1Y
AON,Aon plc,360.3800048828125,30.854452,485500,-4.24,6.8,17.75,25.61
ADC,Agree Realty Corporation,70.30000305175781,38.839783,824900,-6.69,-2.06,28.8,15.57
AYI,"Acuity Brands, Inc.",297.7300109863281,22.169025,186500,-9.68,22.52,15.78,45.49
ASML,ASML Holding N.V. - New York Re,713.5900268554688,39.058018,941800,2.98,-24.2,-25.34,-5.08
AMT,American Tower Corporation (REI,181.8699951171875,43.824093,1640900,-5.79,-15.8,3.99,-13.41
ACM,AECOM,107.68000030517578,29.024258,240800,0.45,11.01,15.85,17.0
ARI,Apollo Commercial Real Estate F,8.899999618530273,N/A,898300,-2.31,-10.1,-11.93,-19.26
AR,Antero Resources Corporation,33.29999923706055,237.85713,2118900,9.5,19.87,11.78,45.22
BAH,Booz Allen Hamilton Holding Cor,129.64999389648438,20.417322,474700,-16.12,-15.6,-9.4,3.03
ALB,Albemarle Corporation,88.29000091552734,N/A,1397000,-13.19,0.5,-27.09,-40.0
AIZ,"Assurant, Inc.",215.0500030517578,15.360715,251700,0.16,14.11,24.87,29.98
SAIC,Science Applications Internatio,111.13999938964844,18.741991,196100,-11.73,-12.04,-9.55,-9.88
CAR,"Avis Budget Group, Inc.",80.95999908447266,7.222123,520600,-24.02,-11.27,-29.43,-54.52
AU,AngloGold Ashanti PLC,23.270000457763672,17.49624,1737500,-3.08,-27.57,-1.72,25.75
APH,Amphenol Corporation,70.73999786376953,40.422855,4072300,-2.28,5.77,25.65,43.48
AMX,"America Movil, S.A.B. de C.V.",14.510000228881836,24.593222,1423000,-3.33,-13.82,-17.19,-18.58
JKHY,"Jack Henry & Associates, Inc.",176.8800048828125,32.336384,303200,2.89,7.58,6.57,9.32
AMKR,"Amkor Technology, Inc.",26.059999465942383,17.608107,615800,2.0,-19.84,-17.61,-20.89
AEIS,"Advanced Energy Industries, Inc",115.13999938964844,95.95,182100,2.67,6.15,19.51,4.17
VRSK,"Verisk Analytics, Inc.",277.29998779296875,42.727272,480100,-2.95,3.23,25.15,17.4
APO,"Apollo Global Management, Inc. ",170.27999877929688,17.980991,2859000,3.63,55.82,55.89,82.81
RBA,"RB Global, Inc.",90.8499984741211,48.844086,460400,-1.63,8.4,25.21,37.74
MAA,Mid-America Apartment Communiti,153.75,34.62838,421800,-2.3,1.46,22.44,17.48
ASX,"ASE Technology Holding Co., Ltd",10.34000015258789,20.68,6381300,7.82,2.99,-1.91,12.62
ARCO,Arcos Dorados Holdings Inc.,7.289999961853027,10.565217,651400,-17.16,-18.95,-32.8,-41.94
ANET,"Arista Networks, Inc.",113.02999877929688,54.341347,3177300,17.14,27.04,66.7,90.79
AIR,AAR Corp.,60.400001525878906,33.370167,187900,-9.92,-4.63,-0.64,-3.73
WAB,Westinghouse Air Brake Technolo,192.0,31.946754,664900,-2.39,18.91,31.67,51.82
RS,"Reliance, Inc.",269.7300109863281,14.771632,304200,-12.98,-4.81,-16.51,-3.04
PKG,Packaging Corporation of Americ,227.08999633789062,26.467365,892100,-3.08,14.23,26.93,42.56
AMG,"Affiliated Managers Group, Inc.",187.63999938964844,12.192332,209800,0.24,8.87,15.72,22.95
ALSN,"Allison Transmission Holdings, ",108.73999786376953,13.277167,238000,-7.59,24.37,35.29,87.99
ALGN,"Align Technology, Inc.",211.42999267578125,36.080204,390400,-4.61,-10.08,-32.87,-23.58
ROK,"Rockwell Automation, Inc.",290.5,35.08454,382300,1.42,9.4,2.97,-5.16
GLPI,"Gaming and Leisure Properties, ",47.849998474121094,16.73077,875100,-0.32,-1.45,16.65,2.61
AZZ,AZZ Inc.,82.05999755859375,56.986107,108200,-2.11,3.3,5.93,41.61
ARMK,Aramark,37.43000030517578,37.808083,1232500,-2.98,5.12,19.46,35.19
AOS,A.O. Smith Corporation,68.43000030517578,18.055408,517900,-6.26,-16.05,-19.93,-15.45
AMCX,AMC Networks Inc.,9.420000076293945,13.267606,349000,-1.05,-8.45,-10.96,-49.81
ALE,"Allete, Inc.",64.43000030517578,20.650642,237800,-0.17,1.79,12.94,8.65
AHT,Ashford Hospitality Trust Inc,7.550000190734863,0.0015170086,36300,-20.61,-19.68,-47.2,-62.25
AALI.JK,Astra Agro Lestari Tbk.,6150.0,11.198106,555600,-6.46,1.27,-7.36,-9.65
SEE,Sealed Air Corporation,34.2599983215332,12.642066,886200,-3.31,1.28,8.2,-5.23
CBL,"CBL & Associates Properties, In",29.75,29.455446,158900,9.01,16.0,40.5,26.55
BBVA,Banco Bilbao Vizcaya Argentaria,9.6899995803833,5.8373494,2484400,1.57,-4.42,-5.24,14.98
APOG,"Apogee Enterprises, Inc.",72.33999633789062,15.261603,168300,-12.79,12.5,28.37,36.96
ANDE,"The Andersons, Inc.",40.060001373291016,11.478511,172700,-14.84,-17.82,-29.81,-30.45
AMED,Amedisys Inc,89.95999908447266,35.698414,2013200,-0.37,-8.1,-2.11,-5.35
ALEX,"Alexander & Baldwin, Inc.",17.399999618530273,21.219511,554800,-7.63,-7.02,12.55,-4.67
ADUS,Addus HomeCare Corporation,128.24000549316406,29.34554,71000,5.05,-3.18,31.06,35.83
WMS,"Advanced Drainage Systems, Inc.",115.58000183105469,18.375198,401000,-11.16,-26.22,-29.28,-18.6
PAG,"Penske Automotive Group, Inc.",155.13999938964844,11.87902,135100,-4.42,-7.28,4.74,-2.29
KLIC,"Kulicke and Soffa Industries, I",47.7599983215332,N/A,278900,4.71,9.63,0.87,-12.57
AZPN,"Aspen Technology, Inc.",251.05999755859375,N/A,179700,1.63,14.71,18.71,13.8
AMH,American Homes 4 Rent,37.099998474121094,38.645832,1255400,-0.41,-2.62,6.51,5.08
AME,"AMETEK, Inc.",182.4499969482422,31.730434,524000,-5.7,10.33,2.01,11.19
AJG,Arthur J. Gallagher & Co.,286.5400085449219,54.68321,7622800,-2.58,-0.63,22.93,29.37
AGCO,AGCO Corporation,93.19999694824219,41.238937,483900,0.95,4.16,-20.1,-21.27
ACRE,Ares Commercial Real Estate Cor,6.110000133514404,N/A,843400,-12.59,-7.91,-6.37,-36.16
WAL,Western Alliance Bancorporation,83.68000030517578,12.93354,587100,-8.9,8.2,49.24,26.63
CVU,"CPI Aerostructures, Inc.",3.930000066757202,2.8686132,52300,34.13,51.15,37.89,42.91
ARE,Alexandria Real Estate Equities,98.3499984741211,59.969513,1305500,-9.16,-14.15,-17.48,-21.19
ANSS,"ANSYS, Inc.",339.7099914550781,52.342834,283400,-0.17,2.64,1.65,-6.12
AIN,Albany International Corporatio,80.12999725341797,25.040625,119300,-0.15,-9.74,-9.69,-17.68
ACLS,"Axcelis Technologies, Inc.",71.23999786376953,10.538461,360500,-9.65,-38.38,-31.9,-46.18
ABG,Asbury Automotive Group Inc,244.52999877929688,13.714526,86800,-6.53,4.04,12.42,7.5
GPI,"Group 1 Automotive, Inc.",423.1400146484375,11.274714,59700,3.08,18.24,57.65,37.58
AXTA,Axalta Coating Systems Ltd.,34.369998931884766,23.222973,1278900,-15.47,-2.0,8.22,0.35
AWI,Armstrong World Industries Inc,143.64999389648438,25.335096,88700,-6.24,16.5,23.41,46.05
ATHM,Autohome Inc.,26.739999771118164,12.613208,418400,-1.11,11.84,8.16,-1.27
ASM,Avino Silver & Gold Mines Ltd.,0.8899999856948853,44.355,1348800,-19.82,-13.59,15.58,67.92
ALX,"Alexander's, Inc.",198.17999267578125,21.401726,15700,-8.98,-11.05,-2.89,-1.52
AER,AerCap Holdings N.V.,95.48999786376953,7.7008066,548400,0.38,0.98,15.65,28.15
AE,"Adams Resources & Energy, Inc.",37.349998474121094,N/A,4600,1.38,68.05,30.44,53.65
RHHBY,Roche Holding Ltd,35.06999969482422,19.059782,862900,-2.96,-15.49,14.65,2.09
FMS,Fresenius Medical Care AG,22.969999313354492,19.632479,229700,7.74,20.96,28.54,12.94
DOX,Amdocs Limited,85.79000091552734,20.185883,621500,0.09,0.72,1.26,-0.72
CXW,"CoreCivic, Inc.",21.329999923706055,31.367647,687100,-0.47,58.94,38.69,46.0
AXS,Axis Capital Holdings Limited,89.29000091552734,12.367037,405300,4.95,18.6,45.93,65.01
AXL,American Axle & Manufacturing H,5.860000133514404,25.47826,1326700,-6.69,-8.29,-17.11,-34.01
ASGN,ASGN Incorporated,83.69000244140625,21.133839,320300,-8.82,-10.8,-12.32,-13.61
APT,"Alpha Pro Tech, Ltd.",5.25,14.189189,40000,-0.76,-13.93,-11.91,0.38
AMBC,"Ambac Financial Group, Inc.",12.34000015258789,N/A,616200,1.98,8.25,-17.46,-24.85
AIT,Applied Industrial Technologies,241.5500030517578,24.622833,165800,-10.85,18.11,26.88,39.5
AEHR,Aehr Test Systems,16.510000228881836,16.84694,1030300,47.02,14.1,41.11,-40.78
ACHC,"Acadia Healthcare Company, Inc.",37.959999084472656,12.445902,1275300,-3.56,-50.53,-48.13,-51.49
ACCO,Acco Brands Corporation,5.25,N/A,479000,-12.94,-1.13,7.53,-7.51
MANH,"Manhattan Associates, Inc.",275.19000244140625,78.17898,482700,-1.63,5.26,15.72,27.06
LAMR,Lamar Advertising Company,121.91999816894531,24.383999,376300,-2.87,4.65,13.09,18.66
KYN,Kayne Anderson MLP/Midstream In,12.199999809265137,4.053156,278400,-2.49,18.8,33.46,52.86
APEI,"American Public Education, Inc.",21.479999542236328,40.528305,105000,16.42,45.92,69.27,118.74
AM,Antero Midstream Corporation,15.109999656677246,18.887499,2062700,0.13,4.98,13.77,27.92
ALV,"Autoliv, Inc.",94.38999938964844,12.322454,465300,-4.08,-6.67,-17.1,-13.48
AKR,Acadia Realty Trust,23.989999771118164,218.09091,900600,-2.0,11.36,42.91,42.85
WRLD,World Acceptance Corporation,110.7300033569336,7.5686946,17600,-6.17,-1.55,-17.83,-17.4
SAH,"Sonic Automotive, Inc.",63.59000015258789,11.274823,71500,-1.28,5.46,29.49,12.94
CACC,Credit Acceptance Corporation,469.20001220703125,31.447721,28800,6.21,-0.05,-15.38,-12.17
ASB,Associated Banc-Corp,24.049999237060547,20.041666,908100,-9.04,14.57,21.8,15.12
